id,name,artist_name,description,short_description
18,MorganT,Morgan Tabernik,"Morgan Tabernik.

10X9m. 2013.

Konstnären tyckte att den givna ramen var otillräcklig, så han målade en extra ram som bildade fyra diagonaler – ett kompositionsknep som resulterade i ett av Hangarens mest grafiska verk.","Graphically innovative work deconstructing framing and identity, boldly challenging traditional art conventions."
1,Safe,SAFE,"Safe

6X12m 2017

Kort efter att Safe målade sina figurer uppstod en röd tråd som knyter ihop Hangaren till ett enda jätteverk. Safes figurer, sorgsna men tröstande, visar ett kollektivt deppmedvetande som präglar verken sedan 2013.","Heartfelt urban narrative uniting sorrow and solace, reflecting a collective mood in contemporary street art."
20,DrottningOreda,DrottningOreda,"Drottning Oreda

4X9m 2017

En målning där man snabbt kan se kontrasten – en målning med en man och en kvinna, där den ena upplevs som mest manlig och den andra som mest kvinnlig, med en underton av osäkerhet och rädsla.","Nuanced exploration of gender through contrasting visual cues that challenge stereotypes in reflective imagery."
21,AmaraPorDios,Amara Por Dios,"Amara Por Dios.

4X10m 2013.

En av de första målningarna i Hangaren. Amara, med chilenska rötter, skapade detta verk i en stad där hennes konst tidigare var förbjuden. Hon försäkrade sig att aldrig måla något mindre än detta igen, vilket satte en milstolpe i folkkonsten.","Seminal work fusing Chilean heritage with Swedish folk art, marking a pivotal moment in graffiti history."
22,oMATIKS,BrainMack,"Brain Mack.

10X7m. Målad av Delicious Brain, Dotsy och Scope. Verket visar en man med en omättlig hunger, där han samlar hjärnor i en symbol för girighet och den moderna drivkraftens motsägelser.","Complex exploration of greed rendered in vivid spray-painted imagery, provoking thought on modern excess."
23,NerTsm,NERTSMTEXT2014,"NER TSM 2014

10X10m spray på tegel.

Verket utgör en svensk tolkning av Amerika – den amerikanska drömmen illustrerad genom en graffitimålartrio. Det kombinerar humor med en skarp kritik av ytliga symboler.","Raw critique of American cultural icons in spray paint, challenging conventional dreams with stark, potent symbolism."
24,Diare,Diaré,"Space

8X9m 2014

Ett verk om en ung mans relation till kvinnan. Space kombinerar rymd-liknande abstraktion med en gåtfull, sensuell kvinna som drar uppmärksamheten med sin blick.","Cosmic abstraction juxtaposing spatial forms with a dominant figure, exploring modern relationships in urban art."
25,Moa,MOA,"MOA – Monsters Of Art

15X9m 2015

Ett kollektivt verk där danska tågmålare visar sin internationella graffitihistoria. MOA firar det gemensamma med energi, stil och motstånd mot kapitalets påverkan.","Politically charged collective work celebrating international graffiti history with bold, dynamic street energy."
26,Artista,ArtistaTEXT2013,"Artista 2013

8X7m

Artista, verksam i London, gestaltar pyramider ofta i form av tårtor. Hennes verk utstrålar festlig energi med en stark koppling till popkultur och mystiska symboler.","Playful pyramid-inspired composition fusing pop culture and mystical symbols to evoke urban energy and rebellious spirit."
27,Girls,GI,"GI – Girls

12X7m 2014

Ett verk skapat av tre manliga graffitimålare, med en humoristisk och satirisk ton som ifrågasätter könsnormer och identitet i gatukonsten.","Satirical group work subverting gender norms with bold graphics and a humorous, incisive urban commentary."
29,CasRoc,CasRocTEXT2013,"Cas Roc 2013

8X4m

En dystert komponerad bild av den belgiske målaren Cas Roc, där tatuering, TV-spel och serietidning flätas samman med graffitimåleri för att uttrycka kamp.","Dark, narrative-rich work fusing tattoo, comic, and graffiti styles to evoke themes of struggle and resistance."
2,Loads,LOADScrew,"LOADS CREW

6X12m 2016

Bless deltog på Open Art i Örebro 2017, vilket satte henne i rampljuset. Tillsammans med LOADS CREW skapades en dynamisk grupp som lyfter gatukonstens energi.","Dynamic group collaboration capturing collective street energy and diverse styles in a vibrant urban celebration."
30,Vial,VIAL,"VIAL

3X7m 2015

En kamp mellan den lilla och den stora, där Vial utmanar normerna med sitt fria sätt att måla – en kamp som speglar både individuell strävan och samhälleliga utmaningar.","Raw, ambitious work contrasting individual struggle with societal challenges in a vivid, impactful urban context."
31,FukshWtass,FukshWtass,"Fuksh/Wtass

8X8m 2016

Ett eko från det sarkastiska 90-talet, där graffitimålarna ifrågasatte normer med humor och lekfullhet. Verket hyllar den eviga amatörens oskuld och rebelliska anda.","Nostalgic homage to 90s graffiti culture that celebrates irreverence and playful street art with ironic, bold energy."
32,Jestr,Jestr,"Jestr

12X7m 2017

Från Sydamerika kommer Jestr, som komponerat sitt verk mellan dörrar och beslag, med teman kring moderskap och identitet.","Vibrant South American work juxtaposing motherhood and identity in a bold, thought-provoking street art style."
33,Emmilou,Emmilou,"Emmilou

8X9m 2016.

En reflektion kring reproduktion, där chansen för att få barn kontrasteras mellan könen. Verket ifrågasätter naturens orättvisa regler med starka metaforer.","Thought-provoking exploration of reproductive disparity rendered in vivid metaphors that challenge natural fairness and societal norms."
34,RolfCW,RolfCarlWerner,"Rolf Carl Werner

4X8m 2016

Ett verk från Sandviken där Rolf, efter år av studier och isolering, utvecklat en unik sprayteknik. Hans stil har förändrats från det vardagliga till det internationellt unika.","Reflective narrative blending personal history with urban culture, showcasing an evolving, unconventional graffiti style."
35,NklsLads,Nkls,"Nkls HPS Lads

4X8m 2016

Ett verk som öppnar dörren till friheten genom att ifrågasätta begreppet och kontrastera vardagliga val med komplexa samhällsfrågor.","Debut work questioning modern freedom by contrasting everyday choices with the complexities of societal expectations in bold urban style."
36,Iron,Iron,"Iron

4X8m 2017

""Våren"" är Irons bidrag till Hangaren. Verket reflekterar politiska och religiösa teman och kritiserar patriarkala strukturer, med en vision om balans.","Politically charged critique of patriarchy envisioning balance and transformative power through bold, impactful urban imagery."
3,Vickan,Vickan,"Vickan

3X9m 2016

Genom repetitiva element visar Vickan hur kunskap och manér hamnar i ryggmärgen – en boxares instinkter översatta till gatukonst.","Energetic celebration of ingrained artistic rhythms that highlights repetitive techniques as the heartbeat of urban art."
4,AndersR,AndersReventlov,"Anders Reventlov

4X9meter. Målad 2015.

Hangaren visar den dynamik som präglat graffitimåleriet i Malmö, där frihet och uttryck står i kontrast till statliga förbud.","Robust urban narrative celebrating free expression and the dynamic, rebellious spirit of Malmö’s street art scene."
5,Mrtn,MRTN,"MRTN

8X9m 2017.

En målning som ifrågasätter individualitet kontra kollektivt uttryck, där den isolerade konstnären kontrasteras mot en större, offentlig kontext.","Contemplative work blending public space critique with subtle graphics, inviting reflection on collective urban identity."
6,PolarKlive,PolarKlive,"Polar och Klive

12X8m 2017

En reflektion över signaturgraffitins tid, där nostalgiska referenser blandas med en ironisk kommentar om konstnärlig utveckling.","Reflective commentary on the end of signature graffiti, blending ironic nostalgia with evolving artistic values in urban art."
7,RuskigAngestFamilj,RuskigAngestFamilj,"Familjen. 8X10m. Ruskig Ångest. 2017

Ett verk som omtolkar klassiska motiv och bildar en modern, mångkulturell familj i en urban kontext.","Unifying portrait reimagining classic motifs as a modern urban family, celebrating diversity and communal identity."
8,Fiyamfl,FiyaSmokyShalakTEXT2015,"Fiya, Smoky och Shalak (Kanada, Chile)

9X15m 2014

En treenighet bestående av en blå indian, ett monstruöst ansikte och ett färgstarkt lejon, med starka religiösa och kulturella referenser.","Triptych uniting a blue Indian, a monstrous figure, and a vibrant lion into a powerful meditation on faith, loss and identity."
9,Kis,KIS,"Kis

4X4m 2014

Ett självporträtt där Kis, från Finland, kombinerar kulturella symboler med gatukonstens frihet – en lekfull hyllning till kreativitet.","Playful self-portrait merging Finnish cultural motifs with street art rebellion in a bold, creative expression."
